Stasiun;Curah Hujan (mm);Tgl CH;Tx (oC);Tgl Tx;Tn (oC);Tgl Tn;Tav (oC);Tgl Tav;RH (%);Tgl RH;Wx (knot);Tgl Wx
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I;130.9;11/05/2020;37.0;14/10/2021;17.6;15/07/2022;31.6;13/01/2020;56;13/01/2020;1;28/06/2020
Pos Meteorologi Penggung;148.0;14/01/2020;37.0;14/10/2020;21.0;27/07/2020;31.5;30/09/2020;51;12/09/2020;2;06/04/2020
Pos Meteorologi Tampa Padang Mamuju;118.0;10/05/2022;;;;;;;;;2;27/05/2022
Pos Pengamatan Kahang-Kahang;124.0;18/01/2021;33.6;19/11/2020;19.2;26/07/2021;27.9;07/04/2022;;;3;09/04/2020
Stasiun Geofisika Bandung;160.0;02/05/2020;32.4;23/08/2020;15.6;27/07/2021;28.9;04/10/2020;46;04/10/2020;1;24/04/2020
Stasiun Geofisika Banjarnegara;135.0;05/03/2020;31.2;11/05/2020;13.4;22/01/2021;23.2;24/07/2021;75;29/06/2022;1;27/01/2020
Stasiun Geofisika Deli Serdang;170.6;29/04/2020;9999.0;31/01/2022;19.1;25/09/2021;30.8;19/05/2022;64;09/07/2022;1;01/02/2020
Stasiun Geofisika Denpasar;187.5;06/12/2021;35.0;17/11/2020;21.0;03/01/2020;;;;;1;16/05/2021
Stasiun Geofisika Gunungsitoli;174.8;15/08/2021;34.9;14/03/2020;16.0;02/11/2021;;;;;2;06/12/2021
Stasiun Geofisika Kepahiang;125.4;06/02/2022;32.4;09/08/2021;16.2;27/07/2021;26.3;02/05/2021;71;27/03/2022;1;10/04/2021
Stasiun Geofisika Lampung Utara;108.6;19/03/2022;34.8;16/05/2022;16.8;02/11/2020;29.8;14/05/2022;73;31/07/2020;1;09/04/2020
Stasiun Geofisika Malang;98.0;15/09/2021;9999.0;27/07/2022;16.3;26/08/2020;28.9;13/04/2020;62;13/04/2020;1;05/04/2020
Stasiun Geofisika Manado;139.2;26/12/2020;32.0;18/05/2020;14.8;13/04/2020;25.8;18/05/2020;74;01/11/2020;1;01/05/2020
Stasiun Geofisika Nganjuk;160.0;15/02/2021;33.2;28/09/2020;16.2;01/07/2022;27.5;07/11/2020;52;26/07/2021;1;04/04/2020
Stasiun Geofisika Padang Panjang;132.5;14/10/2021;9999.0;04/10/2021;15.0;19/05/2020;;;;;1;08/04/2020
